id,number,state,title,created_at,updated_at,closed_at,merged_at,merge_commit_sha,assignees,requested_reviewers,requested_teams,author_association,user.login
3081062643,4,open,feat: refresh tokens,2025-12-08 10:37:35+00:00,2025-12-09 16:31:04+00:00,,,b959dd1d34cbbd1d64c32f5baa661d311580e03d,[],"[{'login': 'WillBriggs-SI', 'id': 118745696, 'node_id': 'U_kgDOBxPqYA', 'avatar_url': 'https://avatars.githubusercontent.com/u/118745696?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/WillBriggs-SI', 'html_url': 'https://github.com/WillBriggs-SI', 'followers_url': 'https://api.github.com/users/WillBriggs-SI/followers', 'following_url': 'https://api.github.com/users/WillBriggs-SI/following{/other_user}', 'gists_url': 'https://api.github.com/users/WillBriggs-SI/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/WillBriggs-SI/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/WillBriggs-SI/subscriptions', 'organizations_url': 'https://api.github.com/users/WillBriggs-SI/orgs', 'repos_url': 'https://api.github.com/users/WillBriggs-SI/repos', 'events_url': 'https://api.github.com/users/WillBriggs-SI/events{/privacy}', 'received_events_url': 'https://api.github.com/users/WillBriggs-SI/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}, {'login': 'rob-webster-space-intelligence', 'id': 147394039, 'node_id': 'U_kgDOCMkN9w', 'avatar_url': 'https://avatars.githubusercontent.com/u/147394039?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rob-webster-space-intelligence', 'html_url': 'https://github.com/rob-webster-space-intelligence', 'followers_url': 'https://api.github.com/users/rob-webster-space-intelligence/followers', 'following_url': 'https://api.github.com/users/rob-webster-space-intelligence/following{/other_user}', 'gists_url': 'https://api.github.com/users/rob-webster-space-intelligence/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rob-webster-space-intelligence/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rob-webster-space-intelligence/subscriptions', 'organizations_url': 'https://api.github.com/users/rob-webster-space-intelligence/orgs', 'repos_url': 'https://api.github.com/users/rob-webster-space-intelligence/repos', 'events_url': 'https://api.github.com/users/rob-webster-space-intelligence/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rob-webster-space-intelligence/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}]",[],MEMBER,KBodolai
3043519407,3,closed,feat: add to current group if present,2025-11-25 12:26:50+00:00,2025-12-01 08:51:35+00:00,2025-12-01 08:51:34+00:00,2025-12-01 08:51:34+00:00,52aa19b95a2088601254abad9ca21d6eaa5dea75,[],[],[],MEMBER,WillBriggs-SI
3042909061,2,closed,fix: tab order,2025-11-25 09:15:47+00:00,2025-11-26 08:40:56+00:00,2025-11-26 08:40:52+00:00,2025-11-26 08:40:52+00:00,63648d1632ad28c4f06b46dcd420643ef0cad879,[],[],[],MEMBER,WillBriggs-SI
3042907873,1,closed,feat: autocollapse layers and groups once added,2025-11-25 09:15:22+00:00,2025-12-01 08:52:40+00:00,2025-12-01 08:52:40+00:00,2025-12-01 08:52:40+00:00,8b6e75f8ff19c30dcb6f2ff66807c03a31e0d208,[],[],[],MEMBER,WillBriggs-SI
3040943123,12,closed,feat: plotting density of continuous data,2025-11-24 17:57:58+00:00,2025-11-25 11:56:05+00:00,2025-11-25 11:56:05+00:00,2025-11-25 11:56:05+00:00,9229eb742c4f48a5808dae434971a2aa8c7c88f8,[],"[{'login': 'rob-webster-space-intelligence', 'id': 147394039, 'node_id': 'U_kgDOCMkN9w', 'avatar_url': 'https://avatars.githubusercontent.com/u/147394039?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rob-webster-space-intelligence', 'html_url': 'https://github.com/rob-webster-space-intelligence', 'followers_url': 'https://api.github.com/users/rob-webster-space-intelligence/followers', 'following_url': 'https://api.github.com/users/rob-webster-space-intelligence/following{/other_user}', 'gists_url': 'https://api.github.com/users/rob-webster-space-intelligence/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rob-webster-space-intelligence/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rob-webster-space-intelligence/subscriptions', 'organizations_url': 'https://api.github.com/users/rob-webster-space-intelligence/orgs', 'repos_url': 'https://api.github.com/users/rob-webster-space-intelligence/repos', 'events_url': 'https://api.github.com/users/rob-webster-space-intelligence/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rob-webster-space-intelligence/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}]",[],MEMBER,WillBriggs-SI
2940404730,11,closed,feat: all SI classes in default dict,2025-10-23 13:03:13+00:00,2025-10-23 13:03:43+00:00,2025-10-23 13:03:43+00:00,2025-10-23 13:03:43+00:00,79b3ddf2a9dab42c344da5a6d29b4d926d1a7c75,[],[],[],MEMBER,WillBriggs-SI
2921391896,10,closed,feat: polygons are treated as polygons not as bboxes,2025-10-16 16:47:43+00:00,2025-10-20 14:34:28+00:00,2025-10-20 14:34:28+00:00,2025-10-20 14:34:28+00:00,8f6fa590ed524b8413db056470526c8cebfa69e6,[],"[{'login': 'rob-webster-space-intelligence', 'id': 147394039, 'node_id': 'U_kgDOCMkN9w', 'avatar_url': 'https://avatars.githubusercontent.com/u/147394039?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/rob-webster-space-intelligence', 'html_url': 'https://github.com/rob-webster-space-intelligence', 'followers_url': 'https://api.github.com/users/rob-webster-space-intelligence/followers', 'following_url': 'https://api.github.com/users/rob-webster-space-intelligence/following{/other_user}', 'gists_url': 'https://api.github.com/users/rob-webster-space-intelligence/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/rob-webster-space-intelligence/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/rob-webster-space-intelligence/subscriptions', 'organizations_url': 'https://api.github.com/users/rob-webster-space-intelligence/orgs', 'repos_url': 'https://api.github.com/users/rob-webster-space-intelligence/repos', 'events_url': 'https://api.github.com/users/rob-webster-space-intelligence/events{/privacy}', 'received_events_url': 'https://api.github.com/users/rob-webster-space-intelligence/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}]",[],MEMBER,WillBriggs-SI
2921169953,8,closed,Feat/arbitrary geoms,2025-10-16 15:36:06+00:00,2025-10-16 16:47:03+00:00,2025-10-16 16:47:03+00:00,,ca4bf1a02dbe7a96888ddf8230bb3008e45aa870,[],[],[],MEMBER,WillBriggs-SI
2782199217,7,closed,fix: clean ui,2025-08-28 15:33:28+00:00,2025-09-04 10:57:12+00:00,2025-09-04 10:57:06+00:00,2025-09-04 10:57:06+00:00,9dacd0f20035c516deecd8d094a6765ed61f7223,[],"[{'login': 'tford132', 'id': 130639823, 'node_id': 'U_kgDOB8lnzw', 'avatar_url': 'https://avatars.githubusercontent.com/u/130639823?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/tford132', 'html_url': 'https://github.com/tford132', 'followers_url': 'https://api.github.com/users/tford132/followers', 'following_url': 'https://api.github.com/users/tford132/following{/other_user}', 'gists_url': 'https://api.github.com/users/tford132/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/tford132/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/tford132/subscriptions', 'organizations_url': 'https://api.github.com/users/tford132/orgs', 'repos_url': 'https://api.github.com/users/tford132/repos', 'events_url': 'https://api.github.com/users/tford132/events{/privacy}', 'received_events_url': 'https://api.github.com/users/tford132/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}]",[],MEMBER,WillBriggs-SI
2775672117,5,closed,feat: ensure qgis4 compatability,2025-08-26 15:54:24+00:00,2025-08-28 10:33:21+00:00,2025-08-28 09:28:39+00:00,2025-08-28 09:28:39+00:00,4c1c49f04b9441b6898377475337d3ef3afd12e6,[],"[{'login': 'WillBriggs-SI', 'id': 118745696, 'node_id': 'U_kgDOBxPqYA', 'avatar_url': 'https://avatars.githubusercontent.com/u/118745696?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/WillBriggs-SI', 'html_url': 'https://github.com/WillBriggs-SI', 'followers_url': 'https://api.github.com/users/WillBriggs-SI/followers', 'following_url': 'https://api.github.com/users/WillBriggs-SI/following{/other_user}', 'gists_url': 'https://api.github.com/users/WillBriggs-SI/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/WillBriggs-SI/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/WillBriggs-SI/subscriptions', 'organizations_url': 'https://api.github.com/users/WillBriggs-SI/orgs', 'repos_url': 'https://api.github.com/users/WillBriggs-SI/repos', 'events_url': 'https://api.github.com/users/WillBriggs-SI/events{/privacy}', 'received_events_url': 'https://api.github.com/users/WillBriggs-SI/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False}]",[],MEMBER,rob-webster-space-intelligence
